State,Inlet air - Std Ideal Liq Vol Flow,Inlet air - Pressure,Inlet air - Temperature,compressed air - Temperature,Nitrogen gas - Master Comp Mass Frac (Nitrogen)
Case 1674,470,1.2,34,25,0
Case 1675,470,1.2,35,25,0
Case 1676,470,1.2,36,25,0
Case 1677,470,1.2,37,25,0
Case 1678,470,1.2,38,25,0
Case 1679,470,1.2,39,25,0
Case 1680,470,1.2,40,25,0
Case 1681,470,1.3,25,25,0.9902
Case 1682,470,1.3,26,25,0.9899
Case 1683,470,1.3,27,25,0.9897
Case 1684,470,1.3,28,25,0.9895
Case 1685,470,1.3,29,25,0.9893
Case 1686,470,1.3,30,25,0.9891
Case 1687,470,1.3,31,25,0.9889
Case 1688,470,1.3,32,25,0.9887
Case 1690,470,1.3,34,25,0
Case 1691,470,1.3,35,25,0
Case 1692,470,1.3,36,25,0
Case 1693,470,1.3,37,25,0
Case 1694,470,1.3,38,25,0
Case 1695,470,1.3,39,25,0
Case 1696,470,1.3,40,25,0
Case 1697,470,1.4,25,25,0.9902
Case 1698,470,1.4,26,25,0.9899
Case 1699,470,1.4,27,25,0.9897
Case 1700,470,1.4,28,25,0.9895
Case 1701,470,1.4,29,25,0.9893
Case 1702,470,1.4,30,25,0.9891
Case 1703,470,1.4,31,25,0.9889
Case 1704,470,1.4,32,25,0.9887
Case 1706,470,1.4,34,25,0
Case 1707,470,1.4,35,25,0
Case 1708,470,1.4,36,25,0
Case 1709,470,1.4,37,25,0
Case 1710,470,1.4,38,25,0
Case 1711,470,1.4,39,25,0
Case 1712,470,1.4,40,25,0
Case 1713,470,1.5,25,25,0.9902
Case 1714,470,1.5,26,25,0.9899
Case 1715,470,1.5,27,25,0.9897
Case 1716,470,1.5,28,25,0.9896
Case 1717,470,1.5,29,25,0.9893
Case 1718,470,1.5,30,25,0.9891
Case 1719,470,1.5,31,25,0.9889
Case 1720,470,1.5,32,25,0.9887
Case 1722,470,1.5,34,25,0
Case 1723,470,1.5,35,25,0
Case 1724,470,1.5,36,25,0
Case 1725,470,1.5,37,25,0
Case 1726,470,1.5,38,25,0
Case 1727,470,1.5,39,25,0
Case 1728,470,1.5,40,25,0
Case 1729,480,1,25,25,0.9897
Case 1730,480,1,26,25,0.9895
Case 1731,480,1,27,25,0.9893
Case 1732,480,1,28,25,0.9891
Case 1733,480,1,29,25,0.9889
Case 1734,480,1,30,25,0.9887
Case 1735,480,1,31,25,0.9885
Case 1736,480,1,32,25,0.9882
Case 1738,480,1,34,25,0
Case 1739,480,1,35,25,0
Case 1740,480,1,36,25,0
Case 1741,480,1,37,25,0
Case 1742,480,1,38,25,0
Case 1743,480,1,39,25,0
Case 1744,480,1,40,25,0
Case 1745,480,1.1,25,25,0.9897
Case 1746,480,1.1,26,25,0.9895
Case 1747,480,1.1,27,25,0.9893
Case 1748,480,1.1,28,25,0.9891
Case 1749,480,1.1,29,25,0.9889
Case 1750,480,1.1,30,25,0.9887
Case 1751,480,1.1,31,25,0.9885
Case 1752,480,1.1,32,25,0.9882
Case 1754,480,1.1,34,25,0
Case 1755,480,1.1,35,25,0
Case 1756,480,1.1,36,25,0
Case 1757,480,1.1,37,25,0
Case 1758,480,1.1,38,25,0
Case 1759,480,1.1,39,25,0
Case 1760,480,1.1,40,25,0
Case 1761,480,1.2,25,25,0.9897
Case 1762,480,1.2,26,25,0.9895
Case 1763,480,1.2,27,25,0.9894
Case 1764,480,1.2,28,25,0.9892
Case 1765,480,1.2,29,25,0.9889
Case 1766,480,1.2,30,25,0.9887
Case 1767,480,1.2,31,25,0.9885
Case 1768,480,1.2,32,25,0.9882
Case 1770,480,1.2,34,25,0
Case 1771,480,1.2,35,25,0
Case 1772,480,1.2,36,25,0
Case 1773,480,1.2,37,25,0
Case 1774,480,1.2,38,25,0
Case 1775,480,1.2,39,25,0
Case 1776,480,1.2,40,25,0
Case 1777,480,1.3,25,25,0.9897
Case 1778,480,1.3,26,25,0.9896
Case 1779,480,1.3,27,25,0.9894
Case 1780,480,1.3,28,25,0.9892
Case 1781,480,1.3,29,25,0.9889
Case 1782,480,1.3,30,25,0.9887
Case 1783,480,1.3,31,25,0.9885
Case 1784,480,1.3,32,25,0.9883
Case 1786,480,1.3,34,25,0
Case 1787,480,1.3,35,25,0
Case 1788,480,1.3,36,25,0
Case 1789,480,1.3,37,25,0
Case 1790,480,1.3,38,25,0
Case 1791,480,1.3,39,25,0
Case 1792,480,1.3,40,25,0
Case 1793,480,1.4,25,25,0.9897
Case 1794,480,1.4,26,25,0.9896
Case 1795,480,1.4,27,25,0.9894
Case 1796,480,1.4,28,25,0.9892
Case 1797,480,1.4,29,25,0.9889
Case 1798,480,1.4,30,25,0.9887
Case 1799,480,1.4,31,25,0.9885
Case 1800,480,1.4,32,25,0.9883
Case 1802,480,1.4,34,25,0
Case 1803,480,1.4,35,25,0
Case 1804,480,1.4,36,25,0
Case 1805,480,1.4,37,25,0
Case 1806,480,1.4,38,25,0
Case 1807,480,1.4,39,25,0
Case 1808,480,1.4,40,25,0
Case 1809,480,1.5,25,25,0.9898
Case 1810,480,1.5,26,25,0.9896
Case 1811,480,1.5,27,25,0.9894
Case 1812,480,1.5,28,25,0.9892
Case 1813,480,1.5,29,25,0.989
Case 1814,480,1.5,30,25,0.9887
Case 1815,480,1.5,31,25,0.9885
Case 1816,480,1.5,32,25,0.9883
Case 1818,480,1.5,34,25,0
Case 1819,480,1.5,35,25,0
Case 1820,480,1.5,36,25,0
Case 1821,480,1.5,37,25,0
Case 1822,480,1.5,38,25,0
Case 1823,480,1.5,39,25,0
Case 1824,480,1.5,40,25,0
Case 1825,490,1,25,25,0.9895
Case 1826,490,1,26,25,0.9892
Case 1827,490,1,27,25,0.989
Case 1828,490,1,28,25,0.9887
Case 1829,490,1,29,25,0.9885
Case 1830,490,1,30,25,0.9883
Case 1831,490,1,31,25,0.988
Case 1832,490,1,32,25,0.9878
Case 1834,490,1,34,25,0
Case 1835,490,1,35,25,0
Case 1836,490,1,36,25,0
Case 1837,490,1,37,25,0
Case 1838,490,1,38,25,0
Case 1839,490,1,39,25,0
Case 1840,490,1,40,25,0
Case 1841,490,1.1,25,25,0.9895
Case 1842,490,1.1,26,25,0.9892
Case 1843,490,1.1,27,25,0.989
Case 1844,490,1.1,28,25,0.9888
Case 1845,490,1.1,29,25,0.9885
Case 1846,490,1.1,30,25,0.9883
Case 1847,490,1.1,31,25,0.988
Case 1848,490,1.1,32,25,0.9878
Case 1850,490,1.1,34,25,0
Case 1851,490,1.1,35,25,0
Case 1852,490,1.1,36,25,0
Case 1853,490,1.1,37,25,0
Case 1854,490,1.1,38,25,0
Case 1855,490,1.1,39,25,0
Case 1856,490,1.1,40,25,0
Case 1857,490,1.2,25,25,0.9895
Case 1858,490,1.2,26,25,0.9892
Case 1859,490,1.2,27,25,0.989
Case 1860,490,1.2,28,25,0.9888
Case 1861,490,1.2,29,25,0.9885
Case 1862,490,1.2,30,25,0.9883
Case 1863,490,1.2,31,25,0.988
Case 1864,490,1.2,32,25,0.9878
Case 1866,490,1.2,34,25,0
Case 1867,490,1.2,35,25,0
Case 1868,490,1.2,36,25,0
Case 1869,490,1.2,37,25,0
Case 1870,490,1.2,38,25,0
Case 1871,490,1.2,39,25,0
Case 1872,490,1.2,40,25,0
Case 1873,490,1.3,25,25,0.9895
Case 1874,490,1.3,26,25,0.9892
Case 1875,490,1.3,27,25,0.989
Case 1876,490,1.3,28,25,0.9888
Case 1877,490,1.3,29,25,0.9885
Case 1878,490,1.3,30,25,0.9883
Case 1879,490,1.3,31,25,0.9881
Case 1880,490,1.3,32,25,0.9878
Case 1882,490,1.3,34,25,0
Case 1883,490,1.3,35,25,0
Case 1884,490,1.3,36,25,0
Case 1885,490,1.3,37,25,0
Case 1886,490,1.3,38,25,0
Case 1887,490,1.3,39,25,0
Case 1888,490,1.3,40,25,0
Case 1889,490,1.4,25,25,0.9895
Case 1890,490,1.4,26,25,0.9892
Case 1891,490,1.4,27,25,0.989
Case 1892,490,1.4,28,25,0.9888
Case 1893,490,1.4,29,25,0.9885
Case 1894,490,1.4,30,25,0.9883
Case 1895,490,1.4,31,25,0.9881
Case 1896,490,1.4,32,25,0.9878
Case 1898,490,1.4,34,25,0
Case 1899,490,1.4,35,25,0
Case 1900,490,1.4,36,25,0
Case 1901,490,1.4,37,25,0
Case 1902,490,1.4,38,25,0
Case 1903,490,1.4,39,25,0
Case 1904,490,1.4,40,25,0
Case 1905,490,1.5,25,25,0.9895
Case 1906,490,1.5,26,25,0.9892
Case 1907,490,1.5,27,25,0.989
Case 1908,490,1.5,28,25,0.9888
Case 1909,490,1.5,29,25,0.9886
Case 1910,490,1.5,30,25,0.9883
Case 1911,490,1.5,31,25,0.9881
Case 1912,490,1.5,32,25,0.9878
Case 1914,490,1.5,34,25,0
Case 1915,490,1.5,35,25,0
Case 1916,490,1.5,36,25,0
Case 1917,490,1.5,37,25,0
Case 1918,490,1.5,38,25,0
Case 1919,490,1.5,39,25,0
Case 1920,490,1.5,40,25,0
Case 1921,500,1,25,25,0.989
Case 1922,500,1,26,25,0.9888
Case 1923,500,1,27,25,0.9886
Case 1924,500,1,28,25,0.9883
Case 1925,500,1,29,25,0.9881
Case 1926,500,1,30,25,0.9879
Case 1927,500,1,31,25,0.9876
Case 1928,500,1,32,25,0.9873
Case 1930,500,1,34,25,0
Case 1931,500,1,35,25,0
Case 1932,500,1,36,25,0
Case 1933,500,1,37,25,0
Case 1934,500,1,38,25,0
Case 1935,500,1,39,25,0
Case 1936,500,1,40,25,0
Case 1937,500,1.1,25,25,0.989
Case 1938,500,1.1,26,25,0.9888
Case 1939,500,1.1,27,25,0.9886
Case 1940,500,1.1,28,25,0.9883
Case 1941,500,1.1,29,25,0.9881
Case 1942,500,1.1,30,25,0.9879
Case 1943,500,1.1,31,25,0.9876
Case 1944,500,1.1,32,25,0.9873
Case 1945,500,1.1,33,25,0.9871
Case 1947,500,1.1,35,25,0
Case 1948,500,1.1,36,25,0
Case 1949,500,1.1,37,25,0
Case 1950,500,1.1,38,25,0
Case 1951,500,1.1,39,25,0
Case 1952,500,1.1,40,25,0
Case 1953,500,1.2,25,25,0.989
Case 1955,500,1.2,27,25,0.9886
Case 1956,500,1.2,28,25,0.9884
Case 1957,500,1.2,29,25,0.9881
Case 1958,500,1.2,30,25,0.9879
Case 1959,500,1.2,31,25,0.9876
Case 1960,500,1.2,32,25,0.9873
Case 1961,500,1.2,33,25,0.9871
Case 1963,500,1.2,35,25,0
Case 1964,500,1.2,36,25,0
Case 1965,500,1.2,37,25,0
Case 1966,500,1.2,38,25,0
Case 1967,500,1.2,39,25,0
Case 1968,500,1.2,40,25,0
Case 1969,500,1.3,25,25,0.989
Case 1971,500,1.3,27,25,0.9886
Case 1972,500,1.3,28,25,0.9884
Case 1973,500,1.3,29,25,0.9881
Case 1974,500,1.3,30,25,0.9879
Case 1975,500,1.3,31,25,0.9876
Case 1976,500,1.3,32,25,0.9873
Case 1977,500,1.3,33,25,0.9871
Case 1979,500,1.3,35,25,0
Case 1980,500,1.3,36,25,0
Case 1981,500,1.3,37,25,0
Case 1982,500,1.3,38,25,0
Case 1983,500,1.3,39,25,0
Case 1984,500,1.3,40,25,0
Case 1985,500,1.4,25,25,0.989
Case 1987,500,1.4,27,25,0.9886
Case 1988,500,1.4,28,25,0.9884
Case 1989,500,1.4,29,25,0.9881
Case 1990,500,1.4,30,25,0.9879
Case 1991,500,1.4,31,25,0.9876
Case 1992,500,1.4,32,25,0.9874
Case 1993,500,1.4,33,25,0.9871
Case 1995,500,1.4,35,25,0
Case 1996,500,1.4,36,25,0
Case 1997,500,1.4,37,25,0
Case 1998,500,1.4,38,25,0
Case 1999,500,1.4,39,25,0
Case 2000,500,1.4,40,25,0
Case 2001,500,1.5,25,25,0.989
Case 2003,500,1.5,27,25,0.9886
Case 2004,500,1.5,28,25,0.9884
Case 2005,500,1.5,29,25,0.9881
Case 2006,500,1.5,30,25,0.9879
Case 2007,500,1.5,31,25,0.9876
Case 2008,500,1.5,32,25,0.9874
Case 2009,500,1.5,33,25,0.9871
Case 2011,500,1.5,35,25,0
Case 2012,500,1.5,36,25,0
Case 2013,500,1.5,37,25,0
Case 2014,500,1.5,38,25,0
Case 2015,500,1.5,39,25,0
Case 2016,500,1.5,40,25,0
